molecule_chembl_id,canonical_smiles,standard_value,pIC50
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,388.0,6.411168274405792
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,461.0,6.336299074610352
CHEMBL225071,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,15.0,7.823908740944319
CHEMBL3335607,CCC[C@H](NC(=O)c1ccc(CCCc2cc3c(=O)[nH]c(N)nc3[nH]2)s1)C(=O)O,55.7,7.254144804826271
CHEMBL3335606,Nc1nc2[nH]c(CCCc3ccc(C(=O)NCCCC(=O)O)s3)cc2c(=O)[nH]1,27.4,7.562249437179612
CHEMBL3335605,Nc1nc2[nH]c(CCCc3ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,9.5,8.022276394711152
CHEMBL3335604,Nc1nc2[nH]c(CCCc3ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,6.6,8.18045606445813
CHEMBL3335603,Nc1nc2[nH]c(CCCc3ccc(C(=O)O)s3)cc2c(=O)[nH]1,661.0,6.179798540514359
CHEMBL1834488,Nc1nc2[nH]c(CCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,0.31,9.508638306165727
CHEMBL590740,Nc1nc2[nH]c(CCCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,1.82,8.739928612014925
CHEMBL3407519,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)c2c(=O)[nH]1,550.0,6.259637310505756
CHEMBL3409334,Nc1nc2[nH]cc(CCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)c2c(=O)[nH]1,109.0,6.962573502059376
CHEMBL3409335,Nc1nc2[nH]cc(CCCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)c2c(=O)[nH]1,49.3,7.30715308072277
